0	55	32	17	-45	-18	-17	-41	-17	16
5	16	54	37	8	51	18	-14	74	99
10	134	163	128	-1	61	85	51	108	131
15	292	331	295	86	190	177	186	297	222
20	540	574	509	287	335	325	327	449	341
25	855	846	831	455	508	552	497	633	561
30	1303	1271	1245	628	763	737	779	963	905
35	1847	1716	1677	982	1051	1184	1050	1269	1121
40	2414	2196	2174	1262	1439	1463	1403	1659	1529
45	2966	2720	2657	1671	1680	1826	1845	2184	1885
50	3624	3239	3182	2028	2160	2271	2214	2586	2213
55	4335	3823	3745	2362	2571	2757	2733	3082	2744
60	4940	4481	4452	2865	3100	3297	3118	3504	3160
65	5656	5126	4965	3226	3470	3728	3561	3965	3612
70	6408	5594	5567	3710	3898	4194	3847	4428	4034
75	7049	6118	6169	4088	4502	4683	4199	4860	4442
80	7810	6738	6812	4545	4909	5208	4726	5321	4914
85	8424	7520	7377	4839	5417	5678	5158	5784	5379
90	8937	8031	7963	5207	5954	6162	5722	6235	5924
95	9678	8440	8522	5642	6381	6558	6095	6703	6318
100	10451	9112	9177	6044	6847	7070	6479	7122	6780
105	10814	9588	9665	6400	7368	7596	6910	7597	7176
110	11465	10002	10104	6730	7693	7957	7242	7950	7582
115	11874	10569	10627	7196	8078	8358	7685	8341	8060
120	12433	11009	11115	7507	8441	8723	8093	8736	8317
